央视频道,#genre#
CCTV女性时尚,http://60.220.167.143:8083/rtp/226.0.2.226:9720,0.4248
CCTV女性时尚,http://60.220.167.202:8084/rtp/226.0.2.226:9720,0.2293
CCTV女性时尚,http://183.185.167.239:8083/rtp/226.0.2.226:9720,0.122
CCTV怀旧剧场,http://171.121.82.184:8082/rtp/226.0.2.224:9704,0.938
CCTV怀旧剧场,http://60.220.167.249:8083/rtp/226.0.2.224:9704,0.8791
CCTV怀旧剧场,http://60.220.167.202:8084/rtp/226.0.2.224:9704,0.521
CCTV怀旧剧场,http://60.220.167.143:8083/rtp/226.0.2.224:9704,0.3474
CCTV怀旧剧场,http://183.185.167.239:8083/rtp/226.0.2.224:9704,0.2635
CCTV第一剧场,http://36.6.150.75:8888/rtp/238.1.79.63:4640,0.9249
CCTV第一剧场,http://60.220.167.249:8083/rtp/226.0.2.221:9680,0.9241
CCTV第一剧场,http://171.121.82.184:8082/rtp/226.0.2.221:9680,0.9122
CCTV第一剧场,http://60.220.167.202:8084/rtp/226.0.2.221:9680,0.4117
CCTV第一剧场,http://60.220.167.143:8083/rtp/226.0.2.221:9680,0.2692
CCTV第一剧场,http://183.185.167.239:8083/rtp/226.0.2.221:9680,0.1188
CCTV风云剧场,http://60.220.167.249:8083/rtp/226.0.2.227:9728,0.9253
CCTV风云剧场,http://60.220.167.143:8083/rtp/226.0.2.227:9728,0.9231
CCTV风云剧场,http://36.6.150.75:8888/rtp/238.1.79.62:4632,0.9142
CCTV风云剧场,http://60.220.167.202:8084/rtp/226.0.2.227:9728,0.4261
CCTV风云剧场,http://183.185.167.239:8083/rtp/226.0.2.227:9728,0.0686

卫视频道,#genre#
三沙卫视,http://117.29.232.157:9999/rtp/239.61.3.10:9578,0.7407
三沙卫视,http://171.212.150.200:19999/udp/239.93.42.58:5140,0.3239
东南卫视,http://171.212.150.200:19999/udp/239.93.0.42:5140,0.9471
东南卫视,http://111.201.161.228:10000/rtp/239.3.1.156:8148,0.9371
东南卫视,http://36.6.150.75:8888/rtp/238.1.78.22:6104,0.9269
东南卫视,http://117.29.232.157:9999/rtp/239.61.2.132:8708,0.8967
